v0,v1,v2,v3,ols_score
2828,583.9014754,-52.39076757,7,2.479457213
2816,202.8066118,486.3900117,6,2.462448933
2858,442.0523575,485.9029745,6,2.460091979
2869,762.1234703,95.91898784,7,2.379303437
2744,666.3644087,-35.41530402,0,2.367696438
2870,111.1933865,-31.17361482,5,2.354356265
2575,398.9542608,-29.70591003,7,2.316889182
2750,235.5087779,477.6830988,6,2.303522881
2609,516.7172282,461.4278009,7,2.281737723
2583,583.4150005,-29.39114049,7,2.198388604
2889,623.5410423,-26.46103195,7,2.196592092
2610,-49.02506096,220.164603,6,2.194276316
2925,647.6417181,-26.15083253,0,2.164893122
2883,-49.88354379,236.34965,2,2.156994382
2711,691.1226177,211.2721924,7,2.142401132
2558,77.06884308,-25.73008353,5,2.135415696
2590,716.7152245,144.5229907,7,2.091186048
2619,742.1651699,99.48515718,0,2.085172976
2582,475.1835203,-37.91918099,7,2.069296714
2921,493.372666,-26.64963055,3,1.954981531
2770,295.9356168,-2.739434467,5,1.945284073
2562,74.01791457,-16.6916751,3,1.930212879
2865,469.1204434,-19.28848345,3,1.923220734
2668,514.4738569,-15.64427371,3,1.918118715
2718,350.4693957,455.3283209,6,1.903578314
2713,489.1936166,-21.13414622,3,1.901604815
2677,733.997319,61.34086473,7,1.885741303
2721,403.9774087,-6.262090266,3,1.846068936
2755,510.6509643,434.9318354,6,1.845467895
2692,673.9594534,250.9349649,7,1.80793146
2581,-4.687322812,422.0136777,2,1.80688838
2880,-27.06683057,67.40003554,3,1.805579174
2676,108.1197219,-6.584602264,3,1.788505576
2859,-23.54934353,59.44020369,5,1.768903223
2928,493.0336592,-7.090250839,3,1.763525435
2902,115.1915756,-4.957203102,3,1.760843613
2561,-19.99742198,142.8117677,3,1.747420684
2565,-17.35344343,213.6972628,3,1.7377542
2906,658.8198101,374.534089,2,1.729776458
2806,291.9761597,444.0422174,4,1.686303297
2757,210.8528892,443.3541096,6,1.652015779
2898,235.0818996,6.966787498,3,1.631456809
2678,497.7087509,5.262619887,5,1.608744693
2862,471.3997059,1.310682639,7,1.607417684
2768,-18.40917165,296.894677,2,1.593958313
2796,-9.677187103,393.2773777,2,1.527024591
2794,654.545975,355.7393981,2,1.5088797
2699,524.5415966,402.7448678,6,1.504955868
2622,660.6976127,279.3054873,7,1.478027068
2834,447.1830681,423.3456204,6,1.468898278
2600,-10.78643046,103.3372066,3,1.455089073
2778,156.2900844,15.69633607,3,1.451768619
2748,-11.37708207,271.3656361,6,1.414814373
2754,33.96571117,16.19882925,3,1.392352592
2643,155.8922114,19.07869942,3,1.39216725
2772,-1.691606857,388.042311,6,1.391296182
2776,23.45727369,163.3626932,5,1.376873836
2863,196.8792552,426.5574618,6,1.367992957
2599,652.9074255,261.0206259,2,1.358710894
2848,256.0125405,423.6543684,6,1.355689671
2742,22.40064388,216.3726183,2,1.298550628
2844,192.1507041,22.62567487,7,1.289651403
2822,12.63666822,135.7344726,3,1.281906444
2624,431.3227163,197.9435363,7,1.272300617
2893,210.5121331,419.9026431,4,1.271911562
2741,436.1495277,191.0841519,3,1.268101801
2615,412.1995783,417.45145,7,1.264715087
2727,338.424261,207.4446732,5,1.260592509
2810,94.11858459,195.7464567,2,1.249958507
2601,593.1773892,24.96107708,1,1.248019271
2616,9.167990461,309.2826954,2,1.234118868
2808,449.0030968,408.2411153,6,1.231578788
2098,513.689,53.478,7,1.228239422
2611,21.39361845,224.0025731,3,1.226326365
2659,364.8582505,185.4847236,1,1.221720519
655,31.778,31.64,3,1.220525163
2097,513.031,52.542,7,1.218769106
2735,409.7525429,414.4543153,2,1.218526681
645,25.619,35.879,3,1.216550374
1216,538.817,379.651,4,1.216470128
2856,353.3219577,212.4517828,3,1.211078619
2638,641.5370019,233.5545462,3,1.210189407
2644,464.3292713,189.9922283,5,1.209721438
2836,496.6088672,127.6898,7,1.20762516
2793,505.2019408,126.9644423,0,1.206530912
2095,504.028,55.227,7,1.196465581
2712,315.0588845,414.5874487,6,1.195855529
1242,20.163,135.455,5,1.193742714
2096,510.743,61.946,7,1.193240803
2689,397.7591467,414.9102972,2,1.193006236
2779,334.2548477,411.7214865,6,1.192932462
1244,23.601,139.432,5,1.192595877
1248,34.601,149.79,5,1.188702205
1175,517.887,375.45,4,1.188665289
2556,464.625847,218.8342257,5,1.187806798
2825,143.8715421,217.8077065,5,1.182386784
2104,520.208,53.968,7,1.176503628
2746,307.9479933,207.2378209,7,1.174856343
2726,103.2439171,209.8930317,5,1.173897631
2099,516.584,62.239,7,1.173304545
2641,418.1546329,23.48116993,5,1.172204481
2715,657.1224991,35.17272478,7,1.171408348
2100,517.117,61.721,7,1.171013643
2912,485.1795265,223.3776859,4,1.170372731
2695,12.82518166,283.5576964,6,1.169596692
2546,668.872,40.505,7,1.168096092
661,35.587,35.094,3,1.165887113
1243,22.54,133.792,5,1.161848697
2866,299.4219724,204.2475683,6,1.161174715
2827,478.7471411,88.40215887,7,1.155446325
2763,297.4827223,194.2874024,6,1.154395104
2356,604.23,385.626,7,1.153425261
2818,309.1528674,183.5428994,2,1.152228076
1250,40.537,149.816,5,1.151711172
642,23.583,45.891,3,1.149745288
1198,531.122,365.629,4,1.149292365
63,190.146,203.939,1,1.142079321
1191,527.096,366.064,4,1.14167078
62,186.379,210.891,1,1.141472503
1249,38.274,145.324,5,1.140839458
2873,419.8817161,183.0398097,6,1.140771944
2753,493.037107,72.89696658,7,1.138743539
2102,519.789,66.485,7,1.137306794
2563,182.0048879,186.9325635,6,1.135160074
640,22.487,51.786,3,1.135031706
2106,521.054,64.937,7,1.133075761
666,39.977,35.651,3,1.13169136
1246,29.526,136.135,5,1.129923902
2617,483.1024813,234.4859262,4,1.128938869
2539,662.95,41.143,7,1.128890282
1241,552.43,368.72,4,1.128128581
116,300.462,210.472,1,1.127172226
2101,519.542,71.158,7,1.126798622
64,192.725,200.574,1,1.126477306
2657,157.2020301,178.8513401,3,1.125842366
1124,486.356,232.863,4,1.125274982
2108,524.201,63.799,7,1.124173628
2702,479.3904222,149.1775419,7,1.123973216
1118,451.058,56.084,3,1.122973231
505,377.393,220.006,2,1.122797628
115,296.686,208.971,1,1.122074717
61,185.148,187.84,1,1.121574863
2588,520.2336755,139.0700855,5,1.12124401
1179,521.297,365.091,4,1.121029724
2888,488.627157,171.2928206,5,1.119733256
2784,15.24270647,344.2559613,2,1.119427803
1252,48.715,151.548,5,1.118688244
2608,375.2693749,175.5244457,6,1.118295761
118,303.553,213.944,1,1.117987363
2690,478.3411241,138.4970555,1,1.116930543
114,295.307,185.377,1,1.116566595
1117,449.252,55.079,3,1.116538759
2648,420.5481167,305.1028864,7,1.115709576
2853,467.908423,98.52573028,4,1.115656295
2612,523.5590085,130.1346446,7,1.115160863
841,154.686,39.223,3,1.11510229
2857,161.0268185,177.2777165,2,1.114766403
117,301.987,213.201,1,1.114475382
112,290.501,200.067,1,1.113679366
1233,545.98,364.976,4,1.113668158
1811,224.663,400.324,6,1.113486271
1115,447.009,53.556,3,1.113109961
657,33.102,42.576,3,1.112582031
1245,27.562,131.582,5,1.112272192
1129,489.661,208.594,4,1.111500978
1136,494.508,372.029,4,1.111387568
1119,452.231,60.751,3,1.111204178
2686,472.9536145,275.4446975,4,1.111100855
2510,646.309,134.465,7,1.109812588
659,34.528,42.59,3,1.109400433
2802,163.2221336,302.6606069,2,1.109388573
119,13.354,264.529,2,1.107697874
1182,522.173,361.623,4,1.107614124
1212,536.616,227.524,4,1.106180501
2298,593.174,382.389,7,1.105142474
1206,533.877,220.304,4,1.104566969
2872,218.8300062,399.7314314,6,1.104353055
1247,32.592,135.646,5,1.104309633
1224,541.6,359.202,4,1.104102947
1626,38.604,396.243,6,1.103995836
2112,528.743,59.36,7,1.103651497
638,20.026,88.356,3,1.102767656
1122,485.216,241.477,4,1.102699902
2620,139.2010308,170.8354093,3,1.101740395
1226,543.076,233.018,4,1.10141672
113,292.782,209.527,1,1.101195689
2111,527.265,65.492,7,1.100734361
125,22.098,281.747,2,1.100508284
65,193.58,191.945,1,1.099763509
2743,366.6267183,169.1616555,2,1.099248416
1120,455.288,73.972,3,1.09885673
198,80.199,298.082,2,1.09822104
1128,488.824,188.719,4,1.097909554
1205,533.192,160.673,4,1.097855196
1856,255.626,399.492,6,1.097305148
2550,672.982,50.898,7,1.097240231
647,26.267,98.659,3,1.097129527
2671,193.3820627,190.9057974,5,1.096937873
1234,546.914,359.652,4,1.096563194
1116,448.248,59.269,3,1.096231935
634,461.696,277.385,2,1.09615258
2109,524.789,72.777,7,1.095599923
1135,493.839,175.772,4,1.094857358
646,25.866,104.418,3,1.094626061
627,455.359,280.24,2,1.093889948
67,198.153,194.02,1,1.093695323
208,87.406,299.783,2,1.093521076
1817,229.257,397.519,6,1.093332007
2342,600.957,379.96,7,1.093316433
1870,265.614,399.174,6,1.092775774
1211,536.212,234.512,4,1.092034415
2103,519.829,81.693,7,1.091929185
211,88.982,299.489,2,1.09178595
1237,548.628,227.947,4,1.091555891
1196,530.131,166.028,4,1.091427503
1225,541.962,207.813,4,1.091360231
1199,531.457,227.77,4,1.091194013
2920,102.7548868,217.9004272,2,1.091086216
109,286.95,198.506,1,1.09097209
2701,558.6771865,264.6368859,4,1.090874203
639,20.925,67.44,3,1.089888927
2894,351.7122737,225.9850836,7,1.089633449
1113,444.359,57.847,3,1.089627418
650,28.136,52.202,3,1.089545133
1111,440.297,51.044,3,1.089363905
1137,494.83,174.778,4,1.089333543
121,17.339,249.372,2,1.088719587
509,379.145,225.451,2,1.08835425
871,179.289,38.267,3,1.088046802
2494,638.43,123.668,7,1.08803106
1215,537.521,244.539,4,1.087788542
1217,539.194,278.559,4,1.087628454
2500,641.833,130.098,7,1.087494464
1204,532.878,234.675,4,1.087400879
1173,517.255,357.003,4,1.086909671
870,178.532,38.528,3,1.086903852
1602,448.515,169.29,5,1.086797562
1724,147.796,323.203,6,1.086744709
1165,512.707,363.166,4,1.08561492
2107,523.901,80.038,7,1.085268425
2440,622.036,359.822,7,1.08463298
1611,19.63,349.476,6,1.084461482
663,36.332,44.874,3,1.084316029
632,459.967,275.32,2,1.084100713
204,83.855,297.607,2,1.083908069
1776,198.43,396.933,6,1.083892199
2224,579.176,379.559,7,1.083768091
2493,637.985,129.206,7,1.083535982
120,16.103,255.247,2,1.083319426
1110,439.489,51.076,3,1.083283492
1738,164.805,318.129,6,1.083238056
111,289.933,208.837,1,1.083200618
70,202.992,198.882,1,1.082147473
636,464.852,273.706,2,1.082097243
1140,495.73,175.982,4,1.082075951
126,22.758,242.831,2,1.081874147
2478,630.164,198.043,7,1.081774743
69,200.871,193.293,1,1.081656324
1138,495.311,262.529,4,1.081625124
2765,383.8611302,225.149366,6,1.08153692
1705,129.391,328.166,6,1.081424924
1488,353.529,165.407,5,1.081326963
274,124.895,225.312,2,1.080883838
134,30.809,233.232,2,1.080605043
2481,630.876,313.745,7,1.080409307
1220,540.037,277,4,1.080365798
1143,497.08,251.411,4,1.080237287
1109,438.046,50.671,3,1.079978911
2501,642.096,134.914,7,1.07978509
1836,242.966,390.113,6,1.079592766
1161,510.995,164.336,4,1.079306789
653,30.529,50.283,3,1.079301612
784,114.784,36.421,3,1.079026419
2574,27.52883109,238.051463,2,1.07898873
1131,491.006,262.795,4,1.07893025
835,152.073,43.234,3,1.078576589
2437,621.755,358.685,7,1.078507348
848,158.606,42.57,3,1.078478756
833,149.587,42.701,3,1.07837866
1213,536.745,174.493,4,1.078315936
2758,506.2221499,165.2736702,7,1.078285786
1127,488.121,266.233,4,1.078182339
1711,134.885,329.977,6,1.078037084
1209,535.435,167.846,4,1.077862561
2843,345.7505241,304.0384502,6,1.077818218
1125,486.759,278.795,4,1.077644617
2803,208.2892207,36.82693919,3,1.07746333
1709,132.643,327.94,6,1.077269895
133,29.936,234.543,2,1.077231586
1207,534.15,274.941,4,1.076852144
679,48.172,37.776,3,1.076687947
1228,544.265,350.96,4,1.076525243
2572,507.3469465,165.2068705,7,1.076160401
1112,442.533,59.002,3,1.075996805
1819,232.237,391.361,6,1.075951348
1171,515.971,168.484,4,1.075916256
2105,520.663,84.578,7,1.075827865
1630,42.345,394.862,6,1.07578056
242,106.267,221.253,2,1.075668038
1193,528.442,254.458,4,1.07565929
2789,457.8636593,91.8686643,5,1.07528519
1588,439.579,169.047,5,1.0750341
1936,308.518,400.249,6,1.074978277
2485,632.044,191.112,7,1.074941966
106,282.56,198.533,1,1.074665453
2541,664.898,49.236,7,1.07457424
831,148.922,42.972,3,1.07429073
1797,215.837,395.339,6,1.074130707
1235,548.245,348.933,4,1.074096312
105,281.512,193.436,1,1.074010749
2714,30.03046159,106.8076972,3,1.073929983
1114,445.847,63.321,3,1.073885174
495,370.829,225.197,2,1.073496127
777,111.307,36.873,3,1.073371584
789,116.894,38.559,3,1.073280934
1609,454.448,155.473,5,1.073083328
682,49.213,37.181,3,1.07285543
1222,540.609,163.443,4,1.072729386
1592,442.7,167.665,5,1.072494108
1745,174.257,314.826,6,1.072481698
602,434.83,289.099,2,1.072272343
671,42.703,42.245,3,1.072254144
68,199.639,189.935,1,1.071773071
2454,624.888,211.609,7,1.071570847
1174,517.496,170.072,4,1.071299304
2236,581.035,377.345,7,1.071152562
499,374.702,226.626,2,1.071115523
66,196.524,209.577,1,1.070961954
2497,640.398,146.905,7,1.070839993
1218,539.774,172.602,4,1.070737691
250,110.534,224.346,2,1.070434058
1480,347.01,162.25,5,1.070344521
1884,272.273,396.064,6,1.06994454
2471,627.756,237.811,7,1.069878259
1190,526.837,185.48,4,1.069470611
2811,374.431056,317.5800648,6,1.06898577
2014,373.965,322.584,6,1.068875293
122,18.137,258.655,2,1.0687948
2560,173.0993134,394.9997574,2,1.068793144
186,73.157,293.775,2,1.068531738
1751,178.184,317.635,6,1.068120263
2584,46.97005178,319.51634,6,1.067991237
2468,627.39,272.513,7,1.067938266
265,118.793,226.169,2,1.067581849
1132,491.867,273.072,4,1.06755777
2847,202.3126749,294.5559888,7,1.067407305
2473,628.566,262.255,7,1.067368439
1687,109.958,400.941,6,1.067122391
2457,625.415,227.66,7,1.06705424
1229,544.443,172.071,4,1.066912354
2032,390.214,325.705,6,1.066714515
649,27.569,63.439,3,1.066700834
2637,541.527398,182.4949484,7,1.066600744
1227,543.266,165.854,4,1.066235491
2788,25.824405,378.0085423,6,1.06620519
2467,627.252,273.933,7,1.066200019
1170,515.637,172.259,4,1.066179095
1608,452.895,98.269,5,1.066122525
2917,96.24599437,35.45291528,5,1.06598867
135,31.169,284.702,2,1.065810416
1150,502.412,273.52,4,1.065720915
2005,364.31,400.75,6,1.065705272
123,19.608,265.248,2,1.065700123
128,23.635,245.377,2,1.065658012
2551,674.599,57.592,7,1.065564401
1887,274.456,393.318,6,1.06549646
1594,443.897,163.984,5,1.06549415
160,53.837,292.781,2,1.065427548
2492,637.155,133.187,7,1.064960514
605,437.521,286.103,2,1.064824353
252,111.309,226.288,2,1.064599889
2469,627.436,125.475,7,1.064527281
110,288.923,213.113,1,1.064370066
2604,39.786166,230.2321509,2,1.064153609
1612,22.691,367.157,6,1.064074189
103,272.218,187.568,1,1.064040993
107,283.104,202.56,1,1.063986308
873,182.166,40.855,3,1.063822902
1139,495.699,232.135,4,1.063815371
2531,657.623,47.035,7,1.063754235
2652,559.1953526,237.752535,6,1.063682216
641,22.816,79.416,3,1.063670064
1629,41.653,319.618,6,1.063625259
1134,493.272,348.466,4,1.063512309
2363,606.103,374.552,7,1.063423538
1232,545.665,172.952,4,1.063258558
928,225.532,41.204,3,1.063252419
1108,436.188,52.454,3,1.063005025
1144,497.592,277.648,4,1.062865653
1142,496.213,346.151,4,1.062846362
2029,388.808,325.055,6,1.06277998
1133,492.522,349.435,4,1.06248066
761,99.007,36.435,3,1.06243661
257,114.502,226.788,2,1.062152175
2495,639.189,146.078,7,1.062092274
2913,115.0451114,164.8806734,5,1.061912338
71,206.631,195.446,1,1.061908376
2463,626.377,273.54,7,1.061907399
1147,500.261,264.723,4,1.061765664
2773,526.7527936,227.6441241,2,1.061594125
654,31.439,59.06,3,1.061440243
496,372.405,228.113,2,1.061384065
130,26.117,244.136,2,1.061240065
525,387.448,226.627,2,1.060918972
1123,486.035,325.079,4,1.060884244
104,275.199,196.881,1,1.060865793
531,390.715,226.094,2,1.060672529
1765,188.529,309.77,6,1.060555644
2464,626.545,237.412,7,1.060419945
1240,549.987,290.017,4,1.060177531
2832,600.2224036,40.50719196,7,1.060133761
643,24.731,71.788,3,1.060113612
1130,490.141,317.891,4,1.060095056
2039,397.628,321.44,6,1.059967592
1676,98.554,327.855,6,1.059903309
2480,630.471,293.513,7,1.059889267
2484,631.99,187.382,7,1.059856973
2018,379.053,325.039,6,1.059540967
524,387.253,226.958,2,1.059279278
1223,540.875,203.393,4,1.059165546
1732,157.744,325.818,6,1.058982254
1103,431.457,51.741,3,1.058865235
2660,531.8866324,73.4335816,7,1.058783099
2117,536.044,62.266,7,1.058779694
1476,342.76,159.119,5,1.058744654
1104,431.817,52.7,3,1.058743332
229,100.165,222.073,2,1.058610904
1154,506.661,272.982,4,1.058609717
2450,624.131,208.597,7,1.058565044
161,54.617,291.696,2,1.058555672
1741,169.13,392.663,6,1.058539162
1126,487.7,327.89,4,1.058529081
644,25.363,83.041,3,1.058293191
840,154.392,46.112,3,1.058041306
656,32.362,60.976,3,1.057982337
2900,119.1404082,299.6806157,7,1.057933927
585,421.91,293.441,2,1.057918314
2874,282.5322207,104.2902463,5,1.057890163
1955,323.134,398.075,6,1.057868131
1236,548.338,342.74,4,1.057855696
2654,202.678365,298.2122035,2,1.057752791
2596,242.5628256,41.51442133,5,1.057637492
177,65.823,290.489,2,1.057623208
2474,628.944,130.454,7,1.057593594
677,47.229,41.339,3,1.057535108
1601,448.034,107.531,5,1.057462304
1610,454.853,146.684,5,1.057440741
1967,334.874,311.798,6,1.05738514
1105,433.348,54.709,3,1.057294416
1888,275.018,390.815,6,1.057253178
2430,620.082,359.154,7,1.057157623
2333,599.584,374.813,7,1.057091783
1239,549.559,170.365,4,1.05690203
1605,450.602,154.409,5,1.056766168
1121,480.872,334.831,4,1.056576148
258,114.867,299.812,2,1.056362993
1600,447.624,107.356,5,1.056350279
1618,31.412,383.076,6,1.056275832
684,52.087,39.576,3,1.056169337
1935,307.581,397.806,6,1.05612914
709,67.789,33.516,3,1.05602528
1208,534.923,201.415,4,1.055968383
552,404.28,297.829,2,1.055927266
1316,159.459,159.694,5,1.055926226
1670,87.567,398.195,6,1.055856101
1513,375.012,166.118,5,1.055831107
536,395.928,301.856,2,1.055774801
19,579.476,39.921,0,1.055721533
1604,449.89,94.756,5,1.055695978
138,33.591,283.933,2,1.055550639
648,27.143,86.854,3,1.055434276
2685,351.4636918,294.1363998,6,1.05536429
586,422.133,292.868,2,1.055288401
1740,168.254,391.485,6,1.055270191
2878,470.2096126,254.3529526,7,1.055242333
1195,529.626,263.193,4,1.055157987
628,456.722,272.881,2,1.055127519
1168,514.896,338.554,4,1.054963673
2397,613.73,369.371,7,1.054877635
124,21.247,262.794,2,1.054875428
2786,460.2712449,338.9349768,6,1.054828314
2093,466.62,368.253,6,1.054804211
1682,104.786,331.155,6,1.054754819
2009,368.095,322.415,6,1.054741519
1201,532.02,283.149,4,1.05471913
31,589.312,38.724,0,1.054602372
1251,46.921,131.675,5,1.054585991
2470,627.515,314.964,7,1.054536193
1380,248.583,110.92,5,1.054522868
163,55.211,290.125,2,1.054225543
1315,156.685,116.021,5,1.054197804
1210,535.984,204.646,4,1.054101567
2749,368.3872042,307.0383843,6,1.0540864
2483,631.727,135.269,7,1.053895488
2110,526.183,92.373,7,1.053803358
2901,33.19281906,95.15827103,3,1.053789956
1202,532.132,199.358,4,1.053787589
1238,549.035,290.121,4,1.053740519
1615,26.461,342.387,6,1.053717487
665,38.977,101.356,3,1.05370705
1613,23.878,357.674,6,1.053690615
2460,625.928,253.514,7,1.053662661
2434,620.931,216.611,7,1.053578152
1307,143.928,119.499,5,1.053553038
72,208.041,192.715,1,1.053513443
2245,583.455,374.931,7,1.053477039
299,144.26,231.112,2,1.053288853
2899,185.8046092,391.5030103,6,1.053127526
906,206.605,39.759,3,1.053064927
551,402.891,297.832,2,1.052770276
514,381.813,230.739,2,1.052747175
127,23.345,251.326,2,1.052669014
1313,154.816,124.228,5,1.052517307
637,466.705,261.183,2,1.052287816
1186,524.095,255.166,4,1.052212207
144,37.343,233.625,2,1.052089385
748,89.819,35.2,3,1.052004902
2886,36.32966332,325.9569992,2,1.051986517
2673,168.2034239,110.1182399,5,1.05192454
1598,446.048,104.647,5,1.051751955
2051,409.45,398.005,6,1.051228303
1141,496.058,311.919,4,1.051217967
1106,434.718,55.796,3,1.050833262
689,54.275,39.558,3,1.050718997
1999,360.191,319.999,6,1.050669483
227,99.108,296.813,2,1.050427596
1312,152.641,126.352,5,1.050344574
151,46.187,286.244,2,1.050300975
1991,355.433,317.592,6,1.050258915
2073,436.832,390.254,6,1.050196695
1577,431.114,166.059,5,1.050179116
129,24.691,273.256,2,1.050007159
1698,120.825,334.534,6,1.049824509
2548,670.007,58.479,7,1.049801665
1799,216.691,299.908,6,1.049695421
2119,538.113,64.413,7,1.049694692
2436,621.269,210.442,7,1.049569893
651,28.708,70.1,3,1.049565002
1597,445.52,112.532,5,1.049516338
1145,498.615,321.004,4,1.049474767
2881,549.8250952,158.2792052,3,1.049437855
2462,626.213,284.3,7,1.049301976
191,76.972,287.451,2,1.049249513
2545,667.492,57.099,7,1.04911288
1221,540.395,329.338,4,1.049082364
2530,657.276,115.197,7,1.049068232
1188,525.683,310.979,4,1.049040761
1729,152.761,398.566,6,1.049036411
1503,366.139,161.967,5,1.048973396
2001,361.176,323.365,6,1.048968449
1978,343.296,315.26,6,1.048937585
786,115.343,41.516,3,1.048912792
1810,223.912,299.244,6,1.048819409
808,131.874,48.172,3,1.048768904
2760,182.859528,156.3239874,5,1.048685438
2645,464.9130729,261.7809886,5,1.04861648
658,33.816,63.395,3,1.048604622
760,98.308,100.305,3,1.048542234
457,339.143,237.759,2,1.048515954
556,405.487,295.939,2,1.048513547
1151,503.806,193.192,4,1.048412226
2568,608.406945,121.4689949,5,1.048371011
1146,499.348,327.046,4,1.048321734
216,92.209,222.15,2,1.048305015
185,72.789,287.178,2,1.048304133
1322,167.876,124.219,5,1.048242448
132,28.94,244.752,2,1.04803785
1308,145.088,127.996,5,1.047896637
2087,458.943,375.9,6,1.047817999
472,352.21,235.047,2,1.04774456
1176,518.631,258.059,4,1.047665039
2021,382.274,330.678,6,1.047641731
2537,661.103,54.241,7,1.047564728
2080,446.536,337.299,6,1.047449985
2086,456.558,342.868,6,1.047420722
223,96.715,223.257,2,1.04738412
2817,559.2166951,45.96294801,3,1.047313493
2472,627.971,188.982,7,1.047036886
580,420.531,291.445,2,1.046971327
263,117.808,296.526,2,1.046964865
1158,508.522,181.015,4,1.046957132
74,211.981,200.95,1,1.046924284
218,93.554,293.737,2,1.046575879
2448,623.724,277.57,7,1.046436556
251,110.823,229.572,2,1.046397018
195,79.202,287.122,2,1.046301811
1752,179.134,323.988,6,1.046226545
264,117.991,296.388,2,1.046226361
1853,254.04,389.891,6,1.04610922
2088,460.569,367.608,6,1.045991046
1938,309.991,306.869,6,1.045986076
2892,528.0477703,326.6135335,4,1.045891508
1415,285.095,110.859,5,1.045837115
2173,568.56,253.928,7,1.045792336
2092,465.684,360.702,6,1.045657965
2927,513.6820552,179.6061133,3,1.045629654
1628,40.679,388.344,6,1.045614123
73,209.812,189.853,1,1.045589572
2777,228.5560925,385.3654384,2,1.045330886
1949,318.992,315.658,6,1.04517905
1743,173.256,389.621,6,1.045174925
519,384.073,230.751,2,1.04505519
1153,506.234,203.63,4,1.04504264
1323,168.858,116.553,5,1.045038093
1187,525.058,322.106,4,1.045030189
2850,73.11464505,286.7416585,2,1.045009937
219,93.768,293.591,2,1.04498041
1623,37.084,333.971,6,1.044893334
